Complexity,Loss,Equation
1,2626.7021,"x7"
3,2576.606,"x0 * 2.7342186"
4,2538.9595,"exp(x0 / 2.3415809)"
5,2408.7402,"x5 * (x0 / x9)"
7,2376.0115,"x5 * (x0 / (x9 - x10))"
9,2076.9229,"12.58241 / (x9 - (x0 - (x0 * -2.3685594)))"
11,1435.7214,"(x7 / (x9 - (x0 - (x0 * -2.3685594)))) / 0.6164365"
15,747.88794,"(x0 + 3.8339276) * (x2 * (-0.21937144 / (((x7 - x9) - 0.8285565) + x7)))"
