Complexity,Loss,Equation
1,2.072175,"0.6144661"
3,2.0640695,"x2 / x8"
4,2.0472515,"exp(x2 / x8)"
5,2.0248594,"x2 / (x8 + -3.9328513)"
7,2.0205116,"x11 + (x2 / (x8 + -3.9328513))"
9,1.9969885,"exp((sin(x2 * x10) * 2.8863747) / x3)"
11,1.9683018,"exp((2.8807206 - x0) * sin(x2 / x3)) / 3.7626483"
13,1.9369332,"exp((1.0131332 - (x0 * sin(x2 / x3))) / (0.058245216 * x9))"
14,1.9151872,"exp((cos(x7) - x0) * (sin(x2 / x3) / (x9 * 0.058245216)))"
16,1.9042522,"exp((cos(x6 / -1.0031923) - x0) * (sin(x2 / x3) / (x9 * 0.058245216)))"
18,1.8980085,"exp((((cos(x6 / -1.0031923) - x0) * sin(x2 / x3)) / (x9 * 0.058245216)) + 0.09691859)"
20,1.8964212,"exp((cos(x6 / -1.0031923) - x0) * (sin(x2 / x3) / ((x9 + -0.15560657) * 0.058245216))) / 0.9466744"
