iter	RMSE
0	1.650862579
1	1.603178916
2	1.565699082
3	1.532724669
4	1.491972734
5	1.470815045
6	1.429824374
7	1.402186456
8	1.381449082
9	1.361606196
10	1.336505249
11	1.319557451
12	1.303305209
13	1.28082161
14	1.255252489
15	1.231160688
16	1.21391839
17	1.203376373
18	1.194811821
19	1.183237248
20	1.165378427
21	1.157845997
22	1.145273252
23	1.12852935
24	1.112707036
25	1.102571308
26	1.095779563
27	1.086792095
28	1.076617289
29	1.068987865
30	1.056615133
31	1.048652942
32	1.030671312
33	1.019776711
34	1.009848652
35	1.001985379
36	0.9923566972
37	0.9857310495
38	0.9771771784
39	0.9643561787
40	0.9470448422
41	0.9409649674
42	0.9371233195
43	0.923513126
44	0.9206058659
45	0.9078153105
46	0.8976153566
47	0.8930302467
48	0.8862643689
49	0.8789947433
50	0.8666751922
51	0.8577263143
52	0.8550987246
53	0.8488857781
54	0.8383385654
55	0.8322357113
56	0.8269884093
57	0.81301579
58	0.8060501939
59	0.7935073546
60	0.7885186885
61	0.7849796383
62	0.7765830058
63	0.7710605259
64	0.7630648352
65	0.753352454
66	0.7445447522
67	0.7363636531
68	0.7316509105
69	0.730132228
70	0.7284333875
71	0.7219346175
72	0.7067289554
73	0.7034307656
74	0.7006546331
75	0.6969969409
76	0.6961452672
77	0.6954532273
78	0.6855013552
79	0.6795623382
80	0.6722506094
81	0.6665497315
82	0.6572688308
83	0.6487356792
84	0.6454352186
85	0.6356429463
86	0.6238032125
87	0.6207646229
88	0.6201710706
89	0.6124610625
90	0.6052902331
91	0.6019452802
92	0.5918189977
93	0.5845320165
94	0.579610008
95	0.5792671281
96	0.5730961832
97	0.5675246775
98	0.5595308367
99	0.5550962192
100	0.5499245196
101	0.5428242333
102	0.5336940451
103	0.5246415354
104	0.5187100535
105	0.515358939
106	0.5119902365
107	0.5116050995
108	0.509319142
109	0.500560959
110	0.4996665196
111	0.4962074812
112	0.4909898141
113	0.4854604541
114	0.4852083919
115	0.4748085124
116	0.4712665167
117	0.4707945178
118	0.4657702921
119	0.4622150869
120	0.4596051738
121	0.4593036445
122	0.4528380503
123	0.449459029
124	0.4463658477
125	0.4460332467
126	0.4391606929
127	0.4356357843
128	0.4346679806
129	0.4300332295
130	0.4264116592
131	0.4220852728
132	0.4174300492
133	0.416302173
134	0.4111504914
135	0.4065663683
136	0.4040741645
137	0.3988964871
138	0.398068169
139	0.3938744417
140	0.3910985299
141	0.3886359576
142	0.3884627922
143	0.3848566159
144	0.3846680662
145	0.3814046721
146	0.3801794308
147	0.3785220435
148	0.3772300999
149	0.3748298186
150	0.3721282987
151	0.3669320386
152	0.3647542672
153	0.3609245201
154	0.3582341628
155	0.3546443695
156	0.3540382455
157	0.3538814462
158	0.3521904864
159	0.3512827896
160	0.3485010247
161	0.3445287386
162	0.3403434549
163	0.3372770131
164	0.3344959319
165	0.3306298991
166	0.3291921515
167	0.3290521569
168	0.3267655095
169	0.3239421999
170	0.3206136145
171	0.319431979
172	0.3188957711
173	0.3171863612
174	0.3145159937
175	0.3131053566
176	0.3106060908
177	0.3078521157
178	0.3060006423
179	0.3039631614
180	0.3028472186
181	0.3016510939
182	0.2990159449
183	0.2980130693
184	0.2965147027
185	0.2937142348
186	0.2902301132
187	0.287116451
188	0.2851561969
189	0.283310282
190	0.281678402
191	0.2800282089
192	0.2797919729
193	0.2779809557
194	0.274895602
195	0.2741878446
196	0.2716689049
197	0.2691141947
198	0.2675750356
199	0.2667887701
200	0.263804404
201	0.2609707363
202	0.2584976168
203	0.2571540521
204	0.2548147628
205	0.2535390206
206	0.2526591716
207	0.2513263545
208	0.2499160954
209	0.2494010045
210	0.2474050444
211	0.2453248855
212	0.2431720307
213	0.2418423694
214	0.2413671246
215	0.2400535233
216	0.2396414828
217	0.2384333634
218	0.2372065794
219	0.2364820103
220	0.2344513147
221	0.2325363312
222	0.2306748071
223	0.2284100846
224	0.2272125969
225	0.226913903
226	0.2258478433
227	0.2248772794
228	0.2232479212
229	0.2222181724
230	0.2210155435
231	0.2204650018
232	0.2199616942
233	0.2196940806
234	0.2191663911
235	0.2191332078
236	0.2169630456
237	0.2164367498
238	0.2159437918
239	0.2146526814
240	0.2138385237
241	0.2118878767
242	0.2102533407
243	0.2092271398
244	0.2078213787
245	0.2059627972
246	0.2059272795
247	0.2044445709
248	0.2031613601
