Complexity,Loss,Equation
1,0.29272968,"0.5220827"
3,0.28866532,"x5 * 0.0051517193"
5,0.28402472,"(x2 * x1) * 0.020904532"
7,0.28084674,"x2 * (x2 * (x1 * 0.0025875377))"
9,0.2800181,"(x2 * (0.0033909893 * x2)) * (x1 + -1.2192011)"
11,0.27906284,"(x2 * (0.0033909893 * x2)) * ((x1 + x11) + -1.2192011)"
13,0.27906245,"((x2 * (x2 * -0.01257022)) * ((x1 + x11) + -1.2205901)) * -0.27009982"
15,0.2782726,"((x2 * (x2 * 0.0036565436)) * (x1 + (x11 + -1.7282255))) + (0.28868523 / x3)"
17,0.2780992,"((x2 * ((x2 - 0.4033344) * 0.0036565436)) * (x1 + (x11 + -1.7282255))) + (0.28868523 / x3)"
