Complexity,Loss,Equation
1,6.267885,"0.7008447"
2,6.2658434,"log(x1)"
3,6.256411,"x5 * 0.00918159"
4,6.2546844,"exp(x11 * 0.37908798)"
5,6.2447944,"0.039924484 * (x1 * x2)"
7,6.2393804,"log(exp(x10 - x8) + 1.6522436)"
8,6.228344,"exp((0.039924484 * x1) * x2) * 0.2949735"
9,6.205923,"log(1.6522436 + (exp(x2 - x8) + x11))"
11,6.1671696,"log(exp((x10 - (x3 - x2)) - x8) + 1.6522436)"
15,6.152769,"log(exp((x10 - ((x3 + (x3 - x2)) - x10)) - x8) + 1.6522436)"
17,6.149597,"log(exp((x10 - (((x3 - x10) + (x3 - x2)) - -0.7377207)) - x8) + 1.6342703)"
19,6.148705,"log(1.6522436 + exp((x10 - ((((x3 + x3) - x2) - (x10 - -0.2161305)) * 0.7311421)) - x8))"
20,6.1430545,"log(exp(((x10 - (((log(x6) - x2) - x10) + x3)) - x8) + 0.33784786) + 1.6522436) + x11"
22,6.1430235,"log(exp(((x10 - (((x3 + log(x6 + -0.2161305)) - x2) - x10)) + 0.34089062) - x8) + 1.6325552) + x11"
23,6.1407633,"log(exp(((x10 - (((log(exp(x1)) - x2) - x10) + (x3 - -0.2161305))) - x8) + 0.67782736) + 1.6522436) + x11"
