Complexity,Loss,Equation
1,654.8449,"x2"
3,653.59625,"12.616204 - x3"
5,645.32623,"x2 + (x0 / x3)"
7,632.31757,"(x8 / x1) / (x3 / x0)"
9,631.13556,"((x8 / x1) / (x3 / x0)) + 0.93161756"
11,603.47614,"(((x10 + -0.7754242) / x3) / (x0 + -6.9002643)) - -10.37966"
13,595.3042,"(((x10 + -0.36820856) / x3) / (x0 + -6.9156666)) - (-9.092076 + -0.06756077)"
15,591.803,"((((x10 + -0.36820856) / x3) / (x0 + -6.9156666)) - (-9.092076 + -0.06756077)) - 1.011384"
19,589.1761,"((((x10 + -0.36820856) / x3) / (x0 + -6.9156666)) - (-9.092076 - ((x11 * -1.0483023) + -2.0669992))) + -0.06756077"
